kata1;;;;;;;
arr;i;i <= 25;arr.push(i);return arr;;;
[ ];1;true;arr.push(1);-;;;
[1];2;true;arr.push(2);-;;;
[2];3;true;arr.push(3);-;;;
;;;;;;;
;;;;;;;
kata2;;;;;;;
;;;;;;;
arr;i;i >= 1;arr.push(i);return arr;;;
[ ];25;true;arr.push(25);-;;;
[25];24;true;arr.push(24);-;;;
[25,24];23;true;arr.push(23);-;;;
;;;;;;;
;;;;;;;
kata3;;;;;;;
;;;;;;;
arr;i;i >= -25;arr.push(i);return arr;;;
[];-1;true;arr.push(-1);-;;;
[-1];-2;true;arr.push(-2);-;;;
[-1, -2];-3;true;arr.push(-3);-;;;
;;;;;;;
;;;;;;;
kata4;;;;;;;
;;;;;;;
arr;i;i <= -1;arr.push(i);return arr;;;
[ ];-25;true;arr.push(-25);-;;;
[-25, -24];-24;true;arr.push(-24);-;;;
[-25, -24, -23];-23;true;arr.push(-23);-;;;
;;;;;;;
kata5;;;;;;;
;;;;;;;
arr;i;i >= -25;if(i % 2 !== 0);arr.push(i);return arr;;
[];25;true;true;arr.push(25);-;;
[];24;true;false;-;-;;
[25];23;true;true;arr.push(23);-;;
[25, 23];22;true;false;-;-;;
;;;;;;;
;;;;;;;
kata6;;;;;;;
;;;;;;;
arr;i;i <= 100;if(i % 3 === 0);arr.push(i);return arr;;
[ ];3;true;true;arr.push(3);-;;
[3];4;true;false;-;-;;
[3];5;true;false;-;-;;
[3];6;true;true;arr.push(6);"-    ";;
;;;;;;;
;;;;;;;
kata7;;;;;;;
;;;;;;;
arr;i;i <= 100;if(i % 7 == 0);arr.push(i);return arr;;
"[ ] ";7;true;true;arr.push(7);-;;
[7];8;true;false;-;-;;
[7];9;true;false;-;-;;
;;;;;;;
;;;;;;;
kata8;;;;;;;
;;;;;;;
arr;i;i <= 100;i % 3 == 0      ||;i % 7 == 0;arr.push(i);return arr;
[ ];100;true;false;false;-;-;
[ ];99;true;true;false;arr.push(99);-;
[99];98;true;false;true;arr.push(98);-;
[99, 98];97;true;false;false;-;-;
;;;;;;;
;;;;;;;
kata9;;;;;;;
;;;;;;;
arr;i;i < 100;i % 5 == 0 || i % 2 !== 0;arr.push(i);return arr;;
[ ];5;true;true;arr.push(5);-;;
[5];6;true;false;-;-;;
;7;true;false;-;-;;
;;;;;;;
;;;;;;;
kata11;;;;;;;
arr;i;i < sampleArray.length;sampleArray[i] % 2 == 0;arr.push(sampleArray[i]);return arr;;
[ ];0;true;false;-;-;;
"[ ] ";1;true;false;;-;;
[244];2;true;true;arr.push(sampleArray[i]);-;;
;;;;;;;
;;;;;;;
kata13;;;;;;;
;;;;;;;
arr;i;i < sampleArray.length;sampleArray[i];sampleArray[i] % 8 == 0;arr.push(sampleArray[i]);return arr;
[ ];0;true;469;false;-;-;
"[ ] ";1;true;755;false;-;-;
[ ];2;true;244;false;-;-;
;;;;;;;
;;;;;;;
kata14;;;;;;;
;;;;;;;
arr;i;i < sampleArray.length;sampleArray[i];arr.push(sampleArray[i] * sampleArray[i]);return arr;;
[ ];0;true;469;arr.push(469 * 469);-;;
[219961];1;true;755;arr.push(755 * 755);-;;
[219961, 570025];2;true;244;arr.push(244 * 244);-;;
;;;;;;;
;;;;;;;
kata15;;;;;;;
;;;;;;;
arr;i;i <= 20;arr = arr + i;return;;;
0;0;true;arr = 0 +0;-;;;
0;1;true;arr = 0 +1;-;;;
1;2;true;arr = 1+1;-;;;
2;3;true;arr = 2 + 3;-;;;
;;;;;;;
;;;;;;;
kata16;;;;;;;
;;;;;;;
arr;i;i < sampleArray.length;sampleArray[i];arr = arr + sampleArray[i];return;;
0;0;true;469;arr = 0 + 469;-;;
469;1;true;755;arr = 469 + 755;-;;
1224;2;true;244;arr = 1224 + 244;-;;
;;;;;;;
;;;;;;;
kata17;;;;;;;
;;;;;;;
menor;i;i < sampleArray.length;sampleArray[i];sampleArray[i] < menor;menor = sampleArray[i];return;
10000;0;true;469;true;menor = 469;-;
469;1;true;755;false;-;-;
469;2;true;244;true;menor = 244;-;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
kata18;;;;;;;
;;;;;;;
maior;i;i < sampleArray.length;sampleArray[i];sampleArray[i] > maior;maior = sampleArray[i];return;
0;0;true;469;true;maior = 469;-;
469;1;true;755;true;maior = 755;-;
755;2;true;244;false;-;-;
;;;;;;;
;;;;;;;